Title,Asset_Name,Version,ASR_Class,BP_Case,ASR_Case,Date,Oil_Mbbl,Condensate_Mbbl,Gas_MMcf,NGL_Mbbl,Oil_Equivalent_MBOE,Revenue_Oil_M$US,Revenue_Condensate_M$US,Revenue_Gas_M$US,Revenue_NGL_M$US,Total_Revenue_M$US,Capex_Explo_Site_Survey_M$US,Capex_Explo_Drilling_-_Dry_Hole_M$US,Capex_Explo_Drilling_-_Success_M$US,Capex_Explo_Appraisal_Drilling_M$US,Development_Drilling_M$US,Capex_Workover_M$US,Plant_&_Euipment_M$US,Maintenance_Total_M$US,Capex_Total_M$US,Opex_Fixed_M$US,Opex_Workover_M$US,Opex_Sharing_M$US,Opex_Variable_M$US,Opex_Transportation_M$US,Opex_Treatment_M$US,Opex_Total_M$US,Epex_G&G_M$US,Epex_Seismic_M$US,Epex_G&A_M$US,Epex_Area_Fee_M$US,Opex_+_Epex_M$US,Royalty_M$US,Abandonment_M$US,Revenue_Processing_M$US,Revenue_Pipeline_M$US,Before_Tax_Cash_Flow_M$US,Tax_Paid_M$US
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,0
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-02-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-03-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-04-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-05-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-06-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-07-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-08-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-09-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-10-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-11-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2021-12-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.287,0,0,0,0,0,190.287,0,0,0,0,190.287,0,0,0,0,-190.287,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2022-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2320.485651,0,21015.0201599999,0,23335.5058109999,27.81,0,0,0,0,0,27.81,0,0,0,0,27.81,0,0,0,0,-23363.3158109999,0
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2022-02-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8559304760064,0,0,0,0,0,27.8559304760064,0,0,0,0,27.8559304760064,0,0,0,0,-27.8559304760064,
Total Proved,Petrel R1 Reserves + Contingent,ASR20,CR,LOW,1C,2022-03-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9019368099282,0,0,0,0,0,27.9019368099282,0,0,0,0,27.9019368099282,0,0,0,0,-27.9019368099282,
